Tweet,Keluhan,Respon,Other,
"@pdamtirtawening min gimana,ampe sekarang masi sulit air?harus gimana biar beneran ditindak lanjuti?",Ya,,,
Mohon perhatian Pa Wali @ridwankamil @dbmpkotabdg @nofidiekaputera sdh sangat mengkhawatirkan skli. https://t.co/q5Jdb0Acbp,,,Ya,
RT @masnuihmanikay: Mohon perhatian Pa Wali @ridwankamil @dbmpkotabdg @nofidiekaputera sdh sangat mengkhawatirkan skli. https://t.co/q5Jdb0…,,,Ya,
Anak Gaul Bandung ituu anak yang tak pernah membuang sampah sembarangan dan merusak fasilitas kota Bandung cc: @ridwankamil @infobdg,,,Ya,
RT @masnuihmanikay: Mohon perhatian Pa Wali @ridwankamil @dbmpkotabdg @nofidiekaputera sdh sangat mengkhawatirkan skli. https://t.co/q5Jdb0…,,,Ya,
@pdamtirtawening ada apa sudah 1mggu air ga ngalir di daerah jl garu babakan sari?,Ya,,,
RT @masnuihmanikay: Mohon perhatian Pa Wali @ridwankamil @dbmpkotabdg @nofidiekaputera sdh sangat mengkhawatirkan skli. https://t.co/q5Jdb0…,,,Ya,
"@DiskominfoBdg di jalan sunda , lampu stopan / lampu merah tidak jalan /mati",Ya,,,
"beberapa x lihat penumpang mobil2 mahal buang sampah di jalan. Miris,kaya tapi kelakuannya seperti tak berpendidikan https://t.co/nxjKTrwkc4",Ya,,,
@disdikJBR @ridwankamil @aheryawan BANYAK WANITA CANTIK DIPERKOSA ALIAS DIPELET DI BDG. mohon tegakkan uu larangan dukun. 90% dukun kriminal,Ya,,,
Masih berlaku imbauan ini serta Perda no 11 thn 2005???? @ridwankamil @bplh_kotabdg @Kec_Kircon https://t.co/fXo3dz9AtJ,,,Ya,
"Punten, Kang @ridwankamil berdasarkan perwal itu wktu berjualan psr tumpah jam 22.00 - 06.00 tapi d psr ciroyom jam 07.00 msh bnyk yg jualan",Ya,,,
"#lalinBDG TL pertigaan Katamso - Supratman padam yg saya tau sejak senin, apa sdh tau @dishub_kotabdg ? cc @PRFMnews",Ya,,,
@ridwankamil Jl. Rajawali Timur sudah kembali seperti dulu lagi. Jam 07.00 pedagang masih berjualan sampai ketengah jalan.,Ya,,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 28/12 URC Bojonagara,lanjutan pengerukan saluran jl Sukawarna Baru https…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 28/12 URC Bojonagara,pemasangan batu andesit trotoar jl Cihampelas https…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 28/12 URC Bojonagara, lanjutan babad rumput jl Sukawarna Baru https://t.…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 28/12 URC Bojonagara, perbaikan jl Gegerkalong Hilir (1) https://t.co/K0…",,Ya,,
"Yudi  | 08:07 #SuaraBdg Sejak Senin, PJU padam di Jl. Pahlawan depan makam pahlawan cc @dbmpkotabdg",Ya,,,
@ridwankamil kang Emil trotoar di jl. H ibrahim adjie (kiaracondong) pada rusak lagi dipake parkir mobil,Ya,,,
@ObatGaptek @pdamtirtawening @ridwankamil kalo di daerah saya ngocor namanya ngangsu ??,,,Ya,
"@ridwankamil 1. Adanya CCTV di area masjid raya bandung, krna disana banyak wisatawan yang mungkin jg bermalam disana, jd mereka merasa aman",,,Ya,
"@ridwankamil , slmt pagi pak walikota, mohon bantuan  solusinya Rumah kami beserta para tetangga  di kompleks ... https://t.co/75ixOKZtTB",,,Ya,
Kalo sim keliling kab bandu g barat dimana ya? Apakah sm dgn kota bdg? @infobdg @infobandung @dbmpkotabdg @PRFMnews,,,Ya,
"@pdkebersihanbdg @ridwankamil pihak RW sdh tahu, bahkan membiarkan, rumah mrk jauh dr bak sampah jd tdk terganggu spt km yg berada disekitar",Ya,,,
@ridwankamil Ass.. Kang abdi prihtn hampr smua wrga daerh Kopo Cirang2 miceun runtah ka walungn. mhn dikash pringtn klau prlu sanksi. Wass,Ya,,,
"ya..iyalah terlalu banyak perumahan, tapi saluran pembuangan air ga ada. Selokan isinya sampah.  https://t.co/5icihhTyrG",Ya,,,
"@ridwankamil pa, ieu ga ada perubahan kelakuan RT na yeuh, JL Situ Cileunca buahbatu. https://t.co/pN65xWFeNn",Ya,,,
Harapan dari pak @ridwankamil atas diresmikannya trotoar baru di Jl Riau dan di jalan lainnya di kota BDG https://t.co/PB8iTsyMRt,,,Ya,
"@ridwankamil dan satu lg udh 1 tahun yg lalu saya urus e-ktp tp sampai sekarang belum selesai,",Ya,,,
Setuju ...tp sistemnya ikut dibangun @mazNOT @ridwankamil @kompascom  @BDGcleanaction  @dbmpkotabdg @pdkebersihanbdg @bplh_kotabdg @AaiikH,,,Ya,
RT @baimmanggala: Setuju ...tp sistemnya ikut dibangun @mazNOT @ridwankamil @kompascom  @BDGcleanaction  @dbmpkotabdg @pdkebersihanbdg @bpl…,,,Ya,
RT @baimmanggala: Setuju ...tp sistemnya ikut dibangun @mazNOT @ridwankamil @kompascom  @BDGcleanaction  @dbmpkotabdg @pdkebersihanbdg @bpl…,,,Ya,
baimmanggala: Setuju ...tp sistemnya ikut dibangun @mazNOT @ridwankamil @kompascom @BDGcleanaction @dbmpkotabdg @pdkebersihanbdg @bpl...,,,Ya,
"Pengamen angkot yg maksa"" kalo ga dikasih uang. Serem :( Ada b'dua",Ya,,,
pa @ridwankamil  pa tolong perbaiki  tega lega.disini sangat banyak sampah yang menumpuk dan bedeng 2 yang liar. nhn https://t.co/6BXeCC168F,Ya,,,
@ridwankamil yang bikin macet teh bus pa tolong di tanggapi pa..... https://t.co/Jks3kecqUN,Ya,,,
@ridwankamil  Pohon Kelapa Sawit bisa jadi solusi baru mengatasi banjir kota besar https://t.co/571x5OCAEw,,,Ya,
RT @infobdg: LIVE on #Periscope: Harapan dari pak @ridwankamil atas diresmikannya trotoar baru di Jl Riau dan di jalan lainnya d… https://t…,,,Ya,
@infobdg @ridwankamil  mudah2n tdk beralih fungsi jd jln pintas motor,,,Ya,
@ridwankamil yg sy takutkan orng ga bisa merawat spt tmn bunga cilaki waktu msh baru cantik pisan..,Ya,,,
".@Dinsos_BDG | @sintalim435 di dayeuhkolot dekat mesjid ada org Gila berkeliaran,suka mengganggu orang yg lewat.Mohon ditindak lanjuti Nuhun",Ya,,,
RT @relawan_bdg: Kang @ridwankamil mencetuskan Panca Trotoar jadi standar pedestrian di Bandung. https://t.co/F7xDZxF1jz,,,Ya,
@ridwankamil pa ini kondisi tegalega yg kumuh banyak sampah yang menum tidk terurus dan bedeng2 liar TOLONG PERBAIKI https://t.co/ZFphkO7XrL,Ya,,,
"RT @infobandung: .@Dinsos_BDG | @sintalim435 di dayeuhkolot dekat mesjid ada org Gila berkeliaran,suka mengganggu orang yg lewat.Mohon diti…",Ya,,,
@pdamtirtawening ini nomor pelanggannya  00100900780 ats nama R Mokh yunus Sidik,,,Ya,
"Gi5 jd jl raya bdg-lemb=dgunakan 1way k utara,../sdgkn yg dr lembang=1way k parong-bajur @ridwankamil @tmc_restabesbdg @_ekayudhistira_",,,Ya,
RT @relawan_bdg: Kang @ridwankamil mencetuskan Panca Trotoar jadi standar pedestrian di Bandung. https://t.co/F7xDZxF1jz,,,Ya,
"Ada mobil lapak sepatu tiap hari dpn hotel yehezkiel jl surapati, ngabisin trotoar. Saya tegur dia marah. @PRFMnews @infobdg @ridwankamil",Ya,,,
"@dbmpkotabdg kalau mau cek ektp kota Bandung sudah jadi apa belum, kemana yah?",,,Ya,
RT @baimmanggala: Setuju ...tp sistemnya ikut dibangun @mazNOT @ridwankamil @kompascom  @BDGcleanaction  @dbmpkotabdg @pdkebersihanbdg @bpl…,,,Ya,
"[MOHON TANGGAPAN] @infobdg @ridwankamil @pln_123 @pln_bandung kec. Cigending kec. Ujungberung, sdh 3 hr listrik mati dan sehari bisa 4 kali?",Ya,,,
RT @baimmanggala: Setuju ...tp sistemnya ikut dibangun @mazNOT @ridwankamil @kompascom  @BDGcleanaction  @dbmpkotabdg @pdkebersihanbdg @bpl…,,,Ya,
"Gi11 kcuali utk angkot=dbolehkn 2arah:1)mrk cr nafkah 2)yg punya mobil,lanj naik angkot @ridwankamil @tmc_restabesbdg @_ekayudhistira_",,,Ya,
"Saya baru melihat Capturan ini Pak @ridwankamil Saya bangga terhadap bapak, bapak pemimpin yng tegas. Sukses Pak ? https://t.co/oYzSYUHs7B",,,Ya,
"Gi15 upami 1way opsi A,parantos efektif.alhamdulilah hasilna sae...kl opsiA msh krg,brlanj opsiB @tmc_restabesbdg @ridwankamil haturnuhun",,,Ya,
tetapi hari ini masih boleh akan terjadi pada hari esok. @Bandung_Dinkes,,,Ya,
"@relawan_bdg @ridwankamil , kebanyakan trotoar rusaknya sama tukang gali kabel, mudah mudahan yang ini ngga",Ya,,,
"Kang @ridwankamil, mo nanya (lagi) ari peraturan tmpt sampah d mobil/angkot teh udah g ada lg ato msh berlaku? Ini pd ga ada soalnya, Nuhun",Ya,,,
"@ridwankamil seueur pisan anu lebet trotoar, nu jalan kaki malah diklaksonan :( lokasi : Jl. Asia-Afrika https://t.co/qRmfWRhbb8",Ya,,,
@dbmpkotabdg @RKBdg Complain Pak. Proyeknya tdk tepat sasaran. Yg diperbaiki malah ruas jalan yg tdk rusak. Yg rusak katanya baru Mei 2016.,Ya,,,
@infobdg @ridwankamil @Satpolppbdg tolong kang emil rumah jl wastukencana samping benkel virtu bakar sampah ajah https://t.co/Z54JZiZbOP,Ya,,,
@ridwankamil kang emil....... kenapa di ujung berung sering mati lampu? Kaan kerjaan rumah jdi ketundaa....,Ya,,,
Pa Wali @ridwankamil @dbmpkotabdg DAM yg sdh tdk fungsi salahsatu pebyebab meluapnya kali citiis kepemukiman warga https://t.co/GblpT5CkIi,Ya,,,
@_kebonjayanti sekedar kritik saja.. mohon d pertimbangkan masy. Lain klo mo bikin acara.. sblm jd viral klo dah d cc. Ke @ridwankamil,,,Ya,
@ridwankamil pak punteun di pantau di lampu merah pasteur banyak anak jalanan yang suka ngambil paksa barang pengendara motor.hatur nuhun,Ya,,,
Nuhun @pdamtirtawening @ridwankamil pipa PDAM bocor di RW 03 Sdserang perbaikan sdng dilakukan 'good job' https://t.co/UfhyBaWsDW,,Ya,,
RT @EndangDjumena: Nuhun @pdamtirtawening @ridwankamil pipa PDAM bocor di RW 03 Sdserang perbaikan sdng dilakukan 'good job' https://t.co/U…,,Ya,,
RT @EndangDjumena: Nuhun @pdamtirtawening @ridwankamil pipa PDAM bocor di RW 03 Sdserang perbaikan sdng dilakukan 'good job' https://t.co/U…,,Ya,,
[MOHON TANGGAPAN] @pln_123 @pln_bandung @ridwankamil @infobdg hari ini kel. Cigending kec. Ujungberung kota Bandung sudah 4x mati lampu.,Ya,,,
"@Dinsos_BDG simbolis bntuan dinsos untk klrg krbn kebkran,v mhn prhtkn jg aspek yg lain,krn klrg krbn msh terlantar. https://t.co/7EnnfG4wcV",Ya,,,
Kang @ridwankamil kpn ada transport umum perbatasan yg baru selain kereta?  Kira2 ada wacana atau tidak? Hatu nuhun.,,,Ya,
"Di trotoar dago dpn RS Sariningsih bnyk angkot parkir diujung trotoar, pejalan kali terpaksa hrs jalan dipinggir jalanan aspal @ridwankamil",Ya,,,
"@PRFMnews @yunisusila 1) supir angkot musti di berikan perintah, tidak boleh masukin pengamen ke dalam angkot. @Satpolppbdg @ridwankamil",,,Ya,
"@PRFMnews @yunisusila 2) kalau pengamen maksa, baiknya supir kemudikan angkot langsung ke dalam kantor polisi @Satpolppbdg @ridwankamil",,,Ya,
"@PRFMnews @yunisusila @Satpolppbdg @ridwankamil banyak sekali pengamen &amp; pengemis baca puisi, masuk dalam angkot maupun ke dalam bus di bdg.",Ya,,,
Akar pohon mahoni membawa petaka di RW.07 kota bdg @PRFMnews @dbmpkotabdg  @diskamtam @ridwankamil https://t.co/JUE35Ak4Dl,Ya,,,
"LAPOR @dishub_kotabdg  bis alun2-ciburuy kode 5648 ugal2an sejak dari alun2, ngebut karena di depannya ada bis dgn jurusan yg sama..",Ya,,,
"@ridwankamil kang kumahanya kawasan wisata belanja CIBADUYUT ayeuna mah sepi pengunjung,padahal asset daerah,punten solusi na",Ya,,,
"kang @ridwankamil , saya masih penasaran dengan patung lambang negara yang berwarna putih polos di bcc,knp polos ya? mksh",,,Ya,
via @reckythea pohon d jln parapatan  lampu merah gandok mau roboh mhn di tindak lanjutin.nuhun @diskamtam https://t.co/2sIPWmtoku,Ya,,,
"RT @reckythea: @pdamtirtawening ada apa sebenar nya dgn jalur sukasari surya sumantri???air nya jarang ngocor punten d perhatoskeun, bosen …",Ya,,,
"@ridwankamil Kang, gimana kalo bikin website khusus pencari kerja di Bandung? Hari gini biar gak tiap hari mantengin koran, Kang.",,,Ya,
"@infobdg @ridwankamil parkir preman masih menjamur dan tidak tertib, selain menimbulkan macet. Dan ada unsur pemaksaan #kircon",Ya,,,
@PRFMnews @Dinsos_BDG  di tegalega banyak anak punk bikin resah karena suka minta uang dg memaksa,Ya,,,
16.50 RT @yetiezy di tegalega banyak anak punk bikin resah karena suka minta uang dg memaksa. cc : @Satpolppbdg @Dinsos_BDG,Ya,,,
RT @budiraharjo23: mari sama-sama sosialisasi  ke masyarakat klo trotoar hanya utk pejalan kaki. @PRFMnews @se_bdg @Satpolppbdg https://t.c…,,,Ya,
@PRFMnews @yetiezy @Satpolppbdg @Dinsos_BDG betul anak funk tegalega ngamen..minta paksa hasil beliin minuman / lem. Mabok di taman tege,Ya,,,
"@PRFMnews  @Satpolppbdg @Dinsos_BDG Taman tegalega kumuh pisan, ~pintu masuk depan( sebrang sribaduga ) patah ~ ditengah taman bnyak 'gembel",Ya,,,
@PRFMnews   @Satpolppbdg @Dinsos_BDG kapan atuh bebersih di tegalega. ?? Nu penting mah eta kupu2 malam na..ari malam minggu bnyk pisan !!,Ya,,,
17.05  RT@inisialAG kapan atuh bebersih di TG? Nu penting mah eta kupu2 malam na' ari malam minggu bnyk pisan !! cc @Satpolppbdg @Dinsos_BDG,Ya,,,
RT @budiraharjo23: mari sama-sama sosialisasi  ke masyarakat klo trotoar hanya utk pejalan kaki. @PRFMnews @se_bdg @Satpolppbdg https://t.c…,,,Ya,
RT @PRFMnews: 16.50 RT @yetiezy di tegalega banyak anak punk bikin resah karena suka minta uang dg memaksa. cc : @Satpolppbdg @Dinsos_BDG,Ya,,,
Jangan buang sampah di pot bunga!!! @pdkebersihanbdg @ridwankamil @PRFMnews @infobandung @bplh_kotabdg @se_bdg https://t.co/BaoYXq5G79,Ya,,,
"Jln yg msh mulus sj sdh diaspal lg, jln di wil sy yg sdh rusak parah kpn ? @ridwankamil @dbmpkotabdg @kec_cibkidul https://t.co/MU9BEcSpa4",Ya,,,
Di jl atlas barat pak | wil. Sy di jl.H.Syahroni @KelCikutra @kec_cibkidul @dbmpkotabdg @ridwankamil https://t.co/hPYiLef7qy,,,Ya,
RT @budiraharjo23: mari sama-sama sosialisasi  ke masyarakat klo trotoar hanya utk pejalan kaki. @PRFMnews @se_bdg @Satpolppbdg https://t.c…,,,Ya,
Giat membuat resapan biopori kec. cicendo di tmn pandawa selasa 29/12/2015 @kec_cicendo @ridwankamil @dbmpkotabdg https://t.co/T77Dywbwio,,,Ya,
RT @Fathur_Okky: Jangan buang sampah di pot bunga!!! @pdkebersihanbdg @ridwankamil @PRFMnews @infobandung @bplh_kotabdg @se_bdg https://t.c…,Ya,,,
RT @budiraharjo23: mari sama-sama sosialisasi  ke masyarakat klo trotoar hanya utk pejalan kaki. @PRFMnews @se_bdg @Satpolppbdg https://t.c…,,,Ya,
RT @sihabudin_dadan: Giat membuat resapan biopori kec. cicendo di tmn pandawa selasa 29/12/2015 @kec_cicendo @ridwankamil @dbmpkotabdg http…,,,Ya,
RT @Fathur_Okky: Jangan buang sampah di pot bunga!!! @pdkebersihanbdg @ridwankamil @PRFMnews @infobandung @bplh_kotabdg @se_bdg https://t.c…,Ya,,,
RT @sihabudin_dadan: Giat membuat resapan biopori kec. cicendo di tmn pandawa selasa 29/12/2015 @kec_cicendo @ridwankamil @dbmpkotabdg http…,,,Ya,
RT @Fathur_Okky: Jangan buang sampah di pot bunga!!! @pdkebersihanbdg @ridwankamil @PRFMnews @infobandung @bplh_kotabdg @se_bdg https://t.c…,Ya,,,
Tah pak @ridwankamil manya motor jalan na di trotoar @se_bdg @infobandung https://t.co/5tP63KCDul,Ya,,,
RT @Fathur_Okky: Jangan buang sampah di pot bunga!!! @pdkebersihanbdg @ridwankamil @PRFMnews @infobandung @bplh_kotabdg @se_bdg https://t.c…,Ya,,,
"Kang @ridwankamil  gorong2 di alun2 pinggir trotoar bolong, bau dan nyamuk. Ga nyaman dan ga sehat banyak buang sampah.",Ya,,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC Bojonagara, lanjutan perbaikan jl Gegerkalong Hilir (1) https:…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC Bojonagara, ljtn pemasangan ubin andesit jl Cihampelas https:/…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC Gedebage, lanjutan perbaikan jl Gedebage Selatan https://t.co/…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC Tegallega, pengerukan saluran jl Cibaduyut https://t.co/BNuogN…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC PJU, perbaikan lampu PJU jl Siliwangi https://t.co/pvRLIWv5WE",,Ya,,
RT @DhaniBhulle: Tah pak @ridwankamil manya motor jalan na di trotoar @se_bdg @infobandung https://t.co/5tP63KCDul,Ya,,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC PJU, perbaikan lampu PJU jl Siliwangi https://t.co/pvRLIWv5WE",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 28/12 URC PJU, perbaikan lampu PJU jl Panyileukan https://t.co/tydTtQdrMW",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 28/12 URC PJU, perbaikan lampu PJU jl Aceh https://t.co/ciQHFs04Bq",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 28/12 URC PJU, perbaikan lampu PJU jl Pangaritan https://t.co/Qjc2y7hLUd",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 28/12 URC PJU, perbaikan lampu PJU jl Ganesha https://t.co/26X2tOucOD",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 28/12 URC PJU, perbaikan lampu PJU jl Golf Timur https://t.co/fVXT5oElCx",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC PJU, perbaikan lampu PJU jl Siliwangi https://t.co/pvRLIWv5WE",,Ya,,
Pa knpa jalan di gegerkalong kaya gigi gitu di tambal2in pan ga singkron @ridwankamil ??????,Ya,,,
RT @budiraharjo23: mari sama-sama sosialisasi  ke masyarakat klo trotoar hanya utk pejalan kaki. @PRFMnews @se_bdg @Satpolppbdg https://t.c…,,,Ya,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC Tegallega, pengerukan saluran jl Cibaduyut https://t.co/BNuogN…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC Gedebage, lanjutan perbaikan jl Gedebage Selatan https://t.co/…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC Bojonagara, ljtn pemasangan ubin andesit jl Cihampelas https:/…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC Bojonagara, lanjutan perbaikan jl Gegerkalong Hilir (1) https:…",,Ya,,
"GJ1 #masukan suatu saat d #masa #depan utk trotoar ps baru,sukajd danlainny yg stipe @dbmpkotabdg @ridwankamil",,,Ya,
"GJ5 1kaki gerobak pd liukan atas,1 kaki lg dbwh=miring,bgitu pula yg dagang kaos-&gt;rada susah ngampar @dbmpkotabdg @ridwankamil",,,Ya,
RT @budiraharjo23: mari sama-sama sosialisasi  ke masyarakat klo trotoar hanya utk pejalan kaki. @PRFMnews @se_bdg @Satpolppbdg https://t.c…,,,Ya,
RT @Fathur_Okky: Jangan buang sampah di pot bunga!!! @pdkebersihanbdg @ridwankamil @PRFMnews @infobandung @bplh_kotabdg @se_bdg https://t.c…,Ya,,,
"@BennySpeed2 @ridwankamil sy d jalan arumsari pak,,,seminggu jg,,padahal saluran udh di pindah,,ttp ga ada perubahan,,help me",Ya,,,
"GJ8 perihal diameter liukan+interval antarliukan+tinggi liukan dr base,arsitek yg mikirkn,bs mcegah pkl ngampar @dbmpkotabdg @ridwankamil",,,Ya,
@ridwankamil @DiskominfoBdg @andri_darusman mapay lembur ada bbrp titik jln msh rusak di rw09 th 2016 usulkan DBMP https://t.co/yeqP7O02Gm,Ya,,,
Bangga bgt jd anak UAI foto mahasiswa nya aja di upload ke IG pak @ridwankamil cc: @DaftarUAI https://t.co/cll03yAlNH,,,Ya,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC Cibeunying, lanjutan pengerukan saluran jl Cihampelas https://…",,Ya,,
Empat tahun di bdg. Masih kieu. Apa tdk sebaiknya diperpanjang aja median jln kircon. @dbmpkotabdg https://t.co/1WlZuU8iZb,Ya,,,
GK1 ass pa @ridwankamil nilai 9 utk -&gt; @dbmpkotabdg respon cepat dari DM ttg lampu PJU,,,Ya,
"@ridwankamil Assalamu'alaikum pak, pak mau tanya, kalau mau mengundang bapak sebagai pemateri seminar, bagaimana caranya ya??",,,Ya,
"pak @ridwankamil , abi gaduh saran , kmha mun perbanyak pohon dkt jalan raya (trotoar)",,,Ya,
"GK4 tdk hanya respon mjawab twit/DM,..ptugasna sdg bertugas (realtime) pd lampu PJU = nilai 9 -&gt; @dbmpkotabdg &lt;- cc @ridwankamil",,,Ya,
"RT @WP_Umar_Wkusuma: GK4 tdk hanya respon mjawab twit/DM,..ptugasna sdg bertugas (realtime) pd lampu PJU = nilai 9 -&gt; @dbmpkotabdg &lt;- cc @r…",,,Ya,
@Lexxspeed @PRFMnews @ridwankamil banyak yang jualan di sepanjang jalan otista,Ya,,,
"RT @PemkotBandung: @ridwankamil menjadi Pembicara Gampong Membangun dengan Teknologi Informasi &amp; Komunikasi"" di Politeknik Aceh https://t.…""",,,Ya,
tetapi hari ini masih boleh akan terjadi pada hari esok. @Bandung_Dinkes,,,Ya,
RT @Lexxspeed: @PRFMnews @ridwankamil @RESTABES_BDG @dishub_kotabdg @DivHumasPolri Gimana mau menegakkan aturan.dilanggar sendiri.. https:/…,,,Ya,
"RT @Iskandar_PCC: @albert_jester coba kita tanya pak @ridwankamil bagaimana strat3gi beliau kalau jd gub aceh, apa saja kiatnya utk pembang…",,,Ya,
@A_che_P @PRFMnews @ridwankamil bahaya mun ksorot mata pngendara yg lewat. Bs pecah konsentrasi &amp; brpotensi jd kecelakaan,,,Ya,
"@Lexxspeed @PRFMnews @ridwankamil nanaonan eta teh, kang? Sering ninggal oge motor ngangge laser kitu teh d daerah cibabat cimahi",,,Ya,
@infobdg Pak @ridwankamil tolong untuk ditindak para supir angkot St.Hall - Lembang suka menaikan ongkos seenaknya kalau macet.,Ya,,,
"@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC PJU, perbaikan lampu PJU jl Cikajang Raya https://t.co/8bplchEGcd",,Ya,,
@ridwankamil @Deddy_Mizwar_ usul gmn kl bwt pntu tol d ngmprah yg tmbus k lmbg slain mngrangi bbn mct d kt bdg jg utk mmbuka pst eknomi baru,,,Ya,
@PaviliunSunda @ridwankamil sekarang tinggal dicari tempat kantung parkirnya.ga apa apa aga jauh juga kan trotoarnya udah nyaman,,,Ya,
"@ridwankamil sampai hrs mengucapkan selamat. Tapi kalau sekedar memastikan keamanan, oke. Lagian yg nanya tdk ada ada mempermslhkan aqidah",,,Ya,
"@ridwankamil kok akang menyinggung akidah? Kalau ga mau disamakan dg Erdogan, ga apa, tapi ada tauladan yg hebat, rasulullah saw...",,,Ya,
"@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC PJU, perbaikan lampu PJU jl Kuningan Raya https://t.co/vBN34dsSdn",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 29/12 URC PJU, perbaikan lampu PJU jl Lengkong Kecil https://t.co/yg2yop…",,Ya,,
"Tempat berhenti motor di lampu merah ternyata bahaya, licin dari air hujan, baru aja 4motor terjatuh, termasuk aing lah @dishub_kotabdg :)))",Ya,,,
"@pdamtirtawening @ridwankamil punten pak, cai ka rw.12/rt.06 teu ngocor. punten wartoskeun ka bagian terkait kocorkeun kitu pa cing karunya",Ya,,,
@dbmpkotabdg supaya trotoar tdk dipakai parkir dan dilimtasi mbl atau mtr dibuatkan taman atau tempat duduk yg diperbanyak,,,Ya,
"@pdamtirtawening hari ini air pam di sarijadi blm keluar, mohon di buka alirannya, kami butuh sekali...",Ya,,,
Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
RT @denurha_pdk: Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
RT @denurha_pdk: Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
RT @denurha_pdk: Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
RT @denurha_pdk: Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
RT @denurha_pdk: Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
"@pdamtirtawening @ridwankamil wilujeng enjing, punten nyungken dibantos, cai tos teu ngocor 11 dinten di rw 08 jl kampus v bbk sari kircon.",Ya,,,
RT @denurha_pdk: Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
"Selamat pagi, TL simp Palasari Lodaya sering tdk terlihat dr arah Burangrang krn lampunya mati &amp; tertutup ranting @dishub_kotabdg @diskamtam",Ya,,,
RT @denurha_pdk: Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
RT @denurha_pdk: Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
RT @denurha_pdk: Budaya bersih dan buang sampah pd tempatnta adl ciri org beradab dan beriman @ridwankamil @PRFMnews https://t.co/QpClA1G226,,,Ya,
"TL simp Malabar-Gatsu sering padam &amp; banyak lampunya yg mati, mhn diperhatikan @dishub_kotabdg cc @IWGinting @DiskominfoBdg @PRFMnews",Ya,,,
